CODGEO,P19_POP,SUPERF,P19_LOG,P19_RP,dens_pop_km2,rap_log_rp,libelle,latitude,longitude
01088,903.0,6.62,401.997027712256,360.37424290213,136.4,0.9,Charnoz-sur-Ain,45.8736786869,5.2211032563
01089,2253.0,16.06,918.0,862.0,140.29,0.94,Château-Gaillard,45.9730390239,5.30754273532
01090,356.0,14.95,169.0,152.0,23.81,0.9,Châtenay,46.0259402155,5.2048590395
01092,1604.0,14.01,728.0,637.0,114.49,0.88,Châtillon-la-Palud,45.9748017433,5.2416027725
01093,4931.0,17.98,2585.5592904199,2280.20368697163,274.25,0.88,Châtillon-sur-Chalaronne,46.1232390685,4.95810003714
01094,761.0,16.55,384.03614811355,323.231858569314,45.98,0.84,Chavannes-sur-Reyssouze,46.4379785193,5.00693749662
01095,853.0,30.98,477.717407265784,350.954919494994,27.53,0.73,Nivigne et Suran,46.2750157946,5.41649423093
01095,853.0,30.98,477.717407265784,350.954919494994,27.53,0.73,Chavannes-sur-Suran,46.2750157946,5.41649423093
01096,1034.0,16.87,449.363848127677,408.340592313723,61.29,0.91,Chaveyriat,46.1991513767,5.0564069258
01098,1159.0,15.44,563.886237555303,474.936597267534,75.06,0.84,Chazey-Bons,45.7925770617,5.68477063188
01099,1566.0,21.95,746.514902151709,690.861511919372,71.34,0.93,Chazey-sur-Ain,45.8929448968,5.25528498524
01100,131.0,6.26,119.0,74.0,20.93,0.62,Cheignieu-la-Balme,45.8227204334,5.6050023969
01101,152.0,6.67,93.3333333333333,69.0,22.79,0.74,Chevillard,46.1103512578,5.58116056005
01102,961.0,17.2,405.637413702993,378.050457181254,55.87,0.93,Chevroux,46.38249255,4.96288275972
01103,2149.0,5.84,975.0,864.0,367.98,0.89,Chevry,46.283152935,6.04707941462
01104,461.0,46.57,391.455381553658,200.945998175642,9.9,0.51,Chézery-Forens,46.222573373,5.87248105275
01105,1829.0,19.76,754.0,702.0,92.56,0.93,Civrieux,45.922467454,4.88633786877
01106,179.0,4.52,98.0,81.0,39.6,0.83,Cize,46.2003848172,5.45082526739
01107,133.0,7.82,105.379166666667,62.0666666666667,17.01,0.59,Cleyzieu,45.902146623,5.43272695486
01108,1176.0,16.87,715.946745121894,535.681486947961,69.71,0.75,Coligny,46.3866637865,5.3308227014
01109,2226.0,16.25,1044.0,904.0,136.98,0.87,Collonges,46.1419227898,5.90040256654
01110,156.0,5.96,89.0,71.0,26.17,0.8,Colomieu,45.7361469025,5.62670101041
01111,132.0,15.28,111.0,58.0,8.64,0.52,Conand,45.8834810846,5.47541328981
01112,450.0,4.64,190.754953810924,171.972497670573,96.98,0.9,Condamine,46.105831161,5.55568206762
01113,817.0,21.64,389.0,344.0,37.75,0.88,Condeissiat,46.1538469834,5.08437171701
01114,667.0,11.66,265.168288799861,229.168288799861,57.2,0.86,Confort,46.1543700156,5.83319395258
01115,1333.0,18.17,622.814779985403,556.843897020759,73.36,0.89,Confrançon,46.270304175,5.05775217893
01116,498.0,14.18,314.0,228.0,35.12,0.73,Contrevoz,45.8009403071,5.62087768159
01117,151.0,7.2,86.0,58.0,20.97,0.67,Conzieu,45.7253102173,5.60442351043
01118,1278.0,31.59,713.087420382668,481.319509453236,40.46,0.67,Corbonod,45.9659473187,5.78961970355
01121,116.0,5.45,64.0,48.0,21.28,0.75,Corlier,46.0336885573,5.49635755029
01123,1162.0,9.85,494.456702461848,454.581165981161,117.97,0.92,Cormoranche-sur-Saône,46.2403530179,4.8276569593
01124,689.0,19.56,383.788130650335,313.092592592593,35.22,0.82,Cormoz,46.4336632942,5.22181275755
01125,612.0,22.69,370.0,273.0,26.97,0.74,Corveissiat,46.2505107235,5.47152467919
01127,508.0,14.82,286.989859788695,227.787804994174,34.28,0.79,Courmangoux,46.3267864521,5.35558241812
01128,305.0,9.06,156.90573089701,135.78073089701,33.66,0.87,Courtes,46.4570082032,5.11128546723
01129,291.0,13.23,128.875379537954,118.128712871287,22.0,0.92,Crans,45.9663793103,5.19490390871
01130,2363.0,25.98,983.966566903259,908.140254179618,90.95,0.92,Bresse Vallons,46.3130831891,5.17796707174
01130,2363.0,25.98,983.966566903259,908.140254179618,90.95,0.92,Cras-sur-Reyssouze,46.3130831891,5.17796707174
01133,394.0,7.93,223.157667186868,173.559493670886,49.68,0.78,Cressin-Rochefort,45.7826434885,5.76546256637
01134,1758.0,12.12,796.242355167008,744.936705409931,145.05,0.94,Crottet,46.283072336,4.87747971182
01135,2171.0,27.47,968.769824822634,864.813168475885,79.03,0.89,Crozet,46.2915659686,5.99510417092
01136,893.0,11.84,392.0,347.0,75.42,0.89,Cruzilles-lès-Mépillat,46.2220588715,4.8752193513
01138,3004.0,19.36,1566.46117872995,1348.2088480898,155.17,0.86,Culoz,45.8559966843,5.78398308932
01139,444.0,23.94,273.242775033543,205.775864781166,18.55,0.75,Curciat-Dongalon,46.4885456881,5.16344336837
01140,767.0,12.41,321.036872231029,301.799555487202,61.8,0.94,Curtafond,46.273150382,5.1020896267
01141,453.0,4.87,219.461697369634,182.25096391704,93.02,0.83,Cuzieu,45.8200002803,5.6765554896
01142,4777.0,6.65,1947.12482195647,1855.42158381834,718.35,0.95,Dagneux,45.8531616918,5.07289166803
01143,9951.0,33.88,6089.31890950265,4414.59991217881,293.71,0.72,Divonne-les-Bains,46.3756333495,6.1158647611
01145,1179.0,29.1,570.098559701456,490.994134922695,40.52,0.86,Dompierre-sur-Veyle,46.0667883703,5.21665199666
01146,436.0,4.78,177.022988505747,163.0,91.21,0.92,Dompierre-sur-Chalaronne,46.1415406621,4.90141714714
01147,492.0,15.2,255.550211484906,203.743887374235,32.37,0.8,Domsure,46.4244066427,5.29313479651
01148,1879.0,18.11,1024.70662056999,814.603691539254,103.75,0.79,Dortan,46.3133221173,5.64146584117
01149,1076.0,5.26,486.99950463753,447.513711151737,204.56,0.92,Douvres,45.984297392,5.37106901673
01150,214.0,7.78,119.0,92.0,27.51,0.77,Drom,46.2196603059,5.36799994918
01151,1146.0,20.72,596.828566230852,504.079016681302,55.31,0.84,Druillat,46.067579544,5.29361666429
01152,748.0,28.09,438.05561861163,320.24623739,26.63,0.73,Échallon,46.2271364137,5.73330448395
01153,2115.0,16.44,912.612056147071,789.210733104072,128.65,0.86,Échenevex,46.3160845207,6.01926187996
01155,143.0,12.08,100.607638888889,71.5,11.84,0.71,Évosges,45.965147537,5.50283599885
01156,815.0,11.22,340.191261694642,306.993656904222,72.64,0.9,Faramans,45.9104942091,5.1249258559
01157,2250.0,8.22,1021.48714872181,905.35310414106,273.72,0.89,Fareins,46.020997974,4.7620080898
01158,1048.0,14.28,493.786355030516,431.939221272555,73.39,0.87,Farges,46.166230455,5.90019477201
01159,3365.0,14.91,1590.0,1469.0,225.69,0.92,Feillens,46.3365833672,4.88507050971
01160,10026.0,4.78,5958.40953385215,4798.84925272042,2097.49,0.81,Ferney-Voltaire,46.2519789243,6.10826403805
01162,65.0,2.79,40.0,26.0,23.3,0.65,Flaxieu,45.8113298005,5.74459048839
01163,2038.0,40.36,982.683856977497,875.46932168749,50.5,0.89,Foissiat,46.3784759782,5.18483641417
01165,1594.0,13.56,631.383090818402,596.99621689785,117.55,0.95,Francheleins,46.0735946256,4.81293575559
01166,2423.0,7.98,1018.03642221861,959.546966102367,303.63,0.94,Frans,45.9939065077,4.78033196905
01167,634.0,8.57,293.854101934171,261.63492385198,73.98,0.89,Garnerans,46.2136224825,4.82843188743
01169,641.0,4.08,274.929858569229,249.080801965456,157.11,0.91,Genouilleux,46.1201611728,4.79288195016
01170,1053.0,4.69,408.113024333651,386.113024333651,224.52,0.95,Béard-Géovreissiat,46.1896733539,5.55139781353
01171,844.0,3.31,349.978626434972,332.978626434972,254.98,0.95,Géovreisset,46.2508621615,5.61271973915
01173,13121.0,32.02,6735.04911750343,5929.4211510921,409.78,0.88,Gex,46.3471891747,6.04650555568
01174,178.0,9.39,130.124806458748,78.8863636363636,18.96,0.61,Giron,46.2227121191,5.78049809256
01175,784.0,6.88,379.0,338.0,113.95,0.89,Gorrevod,46.414943437,4.95120595427
01177,183.0,7.13,115.0,83.0,25.67,0.72,Grand-Corent,46.207387937,5.43318666027
01179,1881.0,14.87,895.569435896686,844.652866242049,126.5,0.94,Grièges,46.2633634407,4.84621318847
01180,839.0,7.5,457.054557040033,339.785035629454,111.87,0.74,Grilly,46.3318810665,6.11366767978
01181,1241.0,6.32,469.0,447.0,196.36,0.95,Groissiat,46.2260039429,5.61095413441
01183,1479.0,4.51,641.693762247372,575.569795305223,327.94,0.9,Guéreins,46.106624674,4.78159420118
01184,763.0,21.6,513.976185329296,346.175925925923,35.32,0.67,Hautecourt-Romanèche,46.1611241927,5.42944457639
01185,4844.0,106.11,2891.31371688251,2165.75007405124,45.65,0.75,Plateau d'Hauteville,45.9696520061,5.57627261783
01185,4844.0,106.11,2891.31371688251,2165.75007405124,45.65,0.75,Hauteville-Lompnes,45.9696520061,5.57627261783
01187,618.0,107.85,628.0,310.0,5.73,0.49,Haut Valromey,46.0317412192,5.70267027388
01187,618.0,107.85,628.0,310.0,5.73,0.49,Hotonnes,46.0317412192,5.70267027388
01188,663.0,20.37,261.935562570099,242.418502202645,32.55,0.93,Illiat,46.1866986838,4.88840344003
01189,1115.0,29.61,592.0,463.0,37.66,0.78,Injoux-Génissiat,46.0497734524,5.75991363273
01190,87.0,13.44,96.1011235955056,39.1011235955056,6.47,0.41,Innimond,45.7919647191,5.57389398559
01191,154.0,13.04,92.5253871541,70.0897435897436,11.81,0.76,Izenave,46.0381623415,5.52447901164
01192,2277.0,20.86,1038.3863716461,955.757826297291,109.16,0.92,Izernore,46.2179780137,5.56258251719
01193,222.0,7.67,128.0,102.0,28.94,0.8,Izieu,45.6557496407,5.63909140794
01194,6346.0,4.81,2881.59139342304,2666.01914628801,1319.33,0.93,Jassans-Riottier,45.9777239103,4.75984637871
01195,1783.0,18.93,769.230322379284,691.346907850869,94.19,0.9,Jasseron,46.2150037064,5.31215372338
01196,1226.0,16.3,510.554539161811,453.922189974369,75.21,0.89,Jayat,46.3660828991,5.11429701617
01197,351.0,2.43,201.226702382012,162.437107809072,144.44,0.81,Journans,46.1464982407,5.33452833151
01198,268.0,16.58,122.868082949525,101.707777606014,16.16,0.83,Joyeux,45.9499899849,5.10261326872
01199,2137.0,15.39,1175.77774323504,932.515797842553,138.86,0.79,Jujurieux,46.0497041467,5.41094771899
01200,214.0,8.8,110.434233085436,91.4342330854364,24.32,0.83,Labalme,46.0932491295,5.49438685213
01202,7161.0,27.25,3560.25628576192,3238.60608696841,262.79,0.91,Lagnieu,45.8917015798,5.32917518895
01203,1313.0,10.31,563.197803762803,535.713458681811,127.35,0.95,Laiz,46.2469919709,4.89933490972
01204,735.0,33.15,464.148047391556,295.998964822749,22.17,0.64,Le Poizat-Lalleyriat,46.1479592076,5.71829194244
01204,735.0,33.15,464.148047391556,295.998964822749,22.17,0.64,Lalleyriat,46.1479592076,5.71829194244
01206,277.0,6.59,137.201472186783,115.922393239415,42.03,0.84,Lantenay,46.0544405897,5.54127421165
01207,317.0,20.04,139.915931121303,123.336220976376,15.82,0.88,Lapeyrouse,45.9859131165,4.98196682865
01208,131.0,6.3,94.3777777777778,64.0444444444444,20.79,0.68,Lavours,45.8108837933,5.77267317838
01209,778.0,11.4,360.0,297.0,68.25,0.82,Léaz,46.1086518044,5.87649017888
01210,228.0,17.63,714.7628675999,113.738556416756,12.93,0.16,Lélex,46.2855010936,5.92927713771
01211,1395.0,31.48,714.00056090485,623.111985446458,44.31,0.87,Lent,46.1160216305,5.20200684747
01212,718.0,20.05,354.124090576435,291.435393258427,35.81,0.82,Lescheroux,46.4114892731,5.15107164478
01213,1341.0,14.18,566.114282523598,521.164642235828,94.57,0.92,Leyment,45.9269989549,5.2947657235
01214,158.0,9.13,100.60248447205,73.6024844720497,17.31,0.73,Leyssard,46.1624187428,5.47633297491
01215,140.0,7.99,109.318612723734,62.3186127237341,17.52,0.57,Surjoux-Lhopital,46.0238143134,5.76236736492
